n_samples,n_features,imbalance_ratio,class_separation,roc_auc,balanced_accuracy,precision,recall,f1_score,best_params
100,600,0.2,1.2,0.4921875,0.4375,0.6222222222222222,0.7,0.6588235294117647,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 2, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.8999999999999999)}"
100,600,0.2,1.4,0.46875,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 2, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,600,0.3,0.8,0.5476190476190477,0.5,0.48999999999999994,0.7,0.5764705882352941,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 8, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.5)}"
100,600,0.3,1.0,0.6309523809523809,0.6309523809523809,0.7352941176470588,0.75,0.7204301075268817,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.6)}"
100,600,0.3,1.2,0.7261904761904763,0.7619047619047619,0.8,0.8,0.8,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 5, 'classifier__learning_rate': np.float64(0.03162277660168379), 'classifier__colsample_bytree': np.float64(0.8999999999999999)}"
100,600,0.3,1.4,0.7261904761904763,0.8333333333333333,0.9125,0.9,0.8933333333333333,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 4, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.5)}"
100,600,0.4,0.8,0.453125,0.5,0.36,0.6,0.45,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 1, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.8999999999999999)}"
100,600,0.4,1.0,0.6666666666666666,0.5833333333333333,0.6549019607843137,0.65,0.6006269592476489,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 2, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.5)}"
100,600,0.4,1.2,0.7291666666666667,0.7083333333333333,0.76,0.75,0.735042735042735,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 4, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,600,0.4,1.4,0.75,0.7291666666666667,0.7472527472527473,0.75,0.7466666666666667,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.7)}"
100,1000,0.1,0.8,0.8888888888888888,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.5)}"
100,1000,0.1,1.0,0.75,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.8999999999999999)}"
100,1000,0.1,1.2,0.7222222222222222,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.6)}"
100,1000,0.1,1.4,0.375,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 1, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.6)}"
100,1000,0.2,0.8,0.3203125,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 4, 'classifier__max_depth': 2, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.7)}"
100,1000,0.2,1.0,0.5625,0.59375,0.7666666666666667,0.8,0.7725490196078432,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.8999999999999999)}"
100,1000,0.2,1.2,0.484375,0.375,0.6,0.6,0.6,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.7)}"
100,1000,0.2,1.4,0.546875,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 7, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.5)}"
100,1000,0.3,0.8,0.39285714285714285,0.5,0.48999999999999994,0.7,0.5764705882352941,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.7)}"
100,1000,0.3,1.0,0.6666666666666667,0.5476190476190477,0.6555555555555556,0.7,0.64375,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(25), 'classifier__min_child_weight': 1, 'classifier__max_depth': 4, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.5)}"
100,1000,0.3,1.2,0.8214285714285714,0.5833333333333334,0.8157894736842106,0.75,0.6796536796536796,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.7)}"
100,1000,0.3,1.4,0.9523809523809524,0.5,0.48999999999999994,0.7,0.5764705882352941,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 2, 'classifier__max_depth': 4, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.6)}"
100,1000,0.4,0.8,0.6666666666666666,0.5833333333333333,0.6549019607843137,0.65,0.6006269592476489,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.7)}"
100,1000,0.4,1.0,0.8229166666666666,0.6666666666666667,0.6952380952380952,0.7,0.6901098901098901,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.7)}"
100,1000,0.4,1.2,0.7708333333333334,0.6041666666666667,0.64,0.65,0.6290598290598292,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 2, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.7)}"
100,1000,0.4,1.4,0.875,0.7083333333333333,0.76,0.75,0.735042735042735,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.6)}"
200,50,0.1,0.8,0.5902777777777778,0.4722222222222222,0.8052631578947368,0.85,0.827027027027027,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.5)}"
200,50,0.1,1.0,0.7638888888888888,0.625,0.9307692307692308,0.925,0.9040000000000001,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 7, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.7)}"
200,50,0.1,1.2,0.9444444444444444,0.625,0.9307692307692308,0.925,0.9040000000000001,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 10, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.7)}"
